Interest Group,Year,Party Committee,Amount Contributed
EQUALITY MICHIGAN,2005,SENATE DEMOCRATIC FUND OF MICHIGAN,1000.00
EQUALITY MICHIGAN,2006,MICHIGAN HOUSE DEMOCRATIC FUND,500.00
EQUALITY MICHIGAN,2011,MICHIGAN HOUSE DEMOCRATIC FUND,500.00
SOUTH CAROLINA EQUALITY COALITION,0,0,0
LOG CABIN REPUBLICANS NEW YORK,0,0,0
EQUALITY FLORIDA ACTION NETWORK,0,0,0
RIGHT TO PRIVACY PAC,0,0,0
ARCUS FOUNDATION,0,0,0
ILLINOIS FAIRNESS FUND,2010,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,25000.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2018,CALIFORNIA DEMOCRATIC PARTY,500.00
MASSEQUALITY,2011,MASSACHUSETTS DEMOCRATIC PARTY,5000.00
MASSEQUALITY,2014,MASSACHUSETTS DEMOCRATIC PARTY,4250.00
MASSEQUALITY,2006,MASSACHUSETTS DEMOCRATIC PARTY,1100.00
MASSEQUALITY,2008,CMTE FOR A DEMOCRATIC SENATE OF MASSACHUSETTS,500.00
MASSEQUALITY,2012,MASSACHUSETTS DEMOCRATIC PARTY,250.00
MASSEQUALITY,2008,MASSACHUSETTS DEMOCRATIC PARTY,200.00
MASSEQUALITY,2011,CMTE FOR A DEMOCRATIC HOUSE OF MASSACHUSETTS,200.00
MASSEQUALITY,2012,CMTE FOR A DEMOCRATIC HOUSE OF MASSACHUSETTS,200.00
MASSEQUALITY,2013,CMTE FOR A DEMOCRATIC HOUSE OF MASSACHUSETTS,200.00
LOVE MAKES A FAMILY,2006,SENATE DEMOCRATS VICTORY PAC OF CONNECTICUT,2000.00
LOVE MAKES A FAMILY,2005,CONNECTICUT DEMOCRATIC PARTY,250.00
DELAWARE STONEWALL DEMOCRATS,2004,DELAWARE DEMOCRATIC PARTY,3125.00
