Interest Group,Year,Amount Contributed
VIRGINIA PARTISAN PAC,2003,5744.28
MASSEQUALITY,2010,5733.86
EQUAL RIGHTS WASHINGTON,2008,5689.01
DELAWARE STONEWALL DEMOCRATS,2008,5600.00
MICH PRIDE PAC,2006,5575.00
EMPIRE STATE PRIDE AGENDA,1999,5500.00
BWB PROPERTIES,2006,5500.00
LOG CABIN REPUBLICANS,2011,5500.00
EQUALITY MAINE,2008,5475.00
LAGPAC,1999,5450.00
GAYPASG PAC,2007,5450.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2014,5400.00
CLEVELAND STONEWALL DEMOCRATS,2018,5400.00
OHIO STONEWALL DEMOCRATS,2006,5300.00
ARIZONA HUMAN RIGHTS FUND,2004,5280.00
EQUALITY OHIO,2008,5250.00
CLEVELAND STONEWALL DEMOCRATS,2014,5250.00
DESERT STONEWALL DEMOCRATS,2016,5215.32
GAY & LESBIAN VICTORY FUND,2017,5175.00
MID-COAST FOR MARRIAGE EQUALITY,2012,5042.38
BASIC RIGHTS OF OREGON PAC,1998,5000.00
HUMAN RIGHTS CAMPAIGN,1999,5000.00
CALIFORNIANS FOR FAIRNESS,2000,5000.00
THE CENTER,2004,5000.00
HORIZONS FOUNDATION,2006,5000.00
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY (GLOBE) OF SOUTHERN ALAMEDA COUNTY,2008,5000.00
CIMARRON EQUALITY OKLAHOMA,2012,5000.00
NATIONAL GAY & LESBIAN TASK FORCE ACTION FUND,2012,5000.00
GILL ACTION FUND,2013,5000.00
EMPIRE STATE PRIDE AGENDA,2018,5000.00
HORIZONS FOUNDATION,2018,5000.00
LOG CABIN REPUBLICANS OF CALIFORNIA,2002,4935.53
FLORIDA GLBT DEMOCRATIC CAUCUS,2010,4890.40
ME WONT DISCRIMINATE,1998,4850.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2012,4850.00
CLEVELAND STONEWALL DEMOCRATS,2012,4850.00
WASHINGTON UNITED FOR MARRIAGE,2012,4850.00
ARIZONA HUMAN RIGHTS FUND,1998,4827.96
BAY STATE GAY & LESBIAN DEMOCRATS,2004,4800.00
GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT,2012,4750.00
GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT,2014,4650.00
GLC FOR FAIRNESS,2006,4605.00
DELAWARE LIBERTY FUND,2000,4600.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2013,4600.00
STONEWALL DEMOCRATS OF DALLAS,2016,4600.00
ARIZONA HUMAN RIGHTS FUND,2000,4578.00
EQUALITY SOUTH DAKOTA,2012,4550.00
VERMONT FUND FOR FAMILIES,2004,4525.00
PRIVACY FUND,1990,4500.00
STONEWALL DEMOCRATIC CLUB,2002,4500.00
CLEVELAND STONEWALL DEMOCRATS,2004,4500.00
CENTER ADVOCATES,2008,4500.00
EQUALITY NEW HAMPSHIRE,2010,4500.00
GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT,2010,4500.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2014,4500.00
NO ON 1 PROTECT MAINE EQUALITY,2009,4414.00
EQUALITY NC ACTION FUND,2016,4400.00
CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,2010,4320.00
TRIANGLE PRIDE PAC,2008,4300.00
LOG CABIN REPUBLICANS OF VIRGINIA,2005,4250.00
STONEWALL DEMOCRATS OF TARRANT COUNTY,2008,4250.00
TARRANT COUNTY STONEWALL DEMOCRATS,2008,4250.00
CAPITAL REGION STONEWALL DEMOCRATS,2016,4250.00
LOG CABIN REPUBLICANS,2018,4250.00
RIGHT TO PRIVACY PAC,1996,4200.00
EQUALITY SOUTH DAKOTA,2016,4200.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2018,4200.00
HOUSTON EQUAL RIGHTS ALLIANCE / HERA,2005,4157.00
HUMAN RIGHTS CAMPAIGN,2001,4000.00
VIRGINIA LOG CABIN REPUBLICANS OF NOVA,2001,4000.00
MID-COAST WONT DISCRIMINATE,2005,4000.00
GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,2008,4000.00
EQUALITY ILLINOIS,2011,4000.00
OKLAHOMA STONEWALL DEMOCRATS,2008,3949.99
UTAH STONEWALL DEMOCRATS,2012,3925.00
LOG CABIN REPUBLICANS OF CALIFORNIA,2004,3818.29
MASSEQUALITY,2006,3737.21
DELAWARE STONEWALL DEMOCRATS,2006,3700.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2017,3547.25
FAMILIES FOR A BETTER IDAHO,2008,3500.00
VERMONT FUND FOR FAMILIES,2009,3500.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2010,3500.00
VICTORY FUND PAC,2012,3500.00
EQUALITY MAINE,2014,3500.00
CLEVELAND STONEWALL DEMOCRATS,2016,3500.00
SOUTH CAROLINA EQUALITY COALITION,2018,3500.00
STONEWALL DEMOCRATS OF DALLAS,2018,3500.00
STONEWALL YOUNG DEMOCRATS,2018,3449.00
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,2010,3425.00
LOVE MAKES A FAMILY,2002,3400.00
LPAC,2013,3400.00
EQUALITY NORTH CAROLINA,2000,3250.00
LOG CABIN REPUBLICANS,2009,3250.00
ONE COLORADO,2010,3250.00
STONEWALL DEMOCRATIC CLUB - ISSUES & ADVOCACY CMTE,2003,3200.00
STONEWALL DEMOCRATS OF DALLAS,2008,3159.90
CENTER ADVOCATES,2006,3057.25
VIRGINIA LOG CABIN REPUBLICANS OF NOVA,2000,3000.00
ARIZONA STONEWALL DEMOCRATS,2000,3000.00
VERMONTERS FOR CIVIL UNIONS,2001,3000.00
EQUALITY MICHIGAN,2002,3000.00
