"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"1425","NATIONAL CENTER FOR LESBIAN RIGHTS",2008,50000,0,"Party Committee"
"1426","NATIONAL CENTER FOR LESBIAN RIGHTS",2008,50000,50000,"Candidate"
"1427","NATIONAL CENTER FOR LESBIAN RIGHTS",2004,6000,0,"Party Committee"
"1428","NATIONAL CENTER FOR LESBIAN RIGHTS",2004,6000,6000,"Candidate"
"1429","NATIONAL GAY & LESBIAN TASK FORCE",2012,304143.82,0,"Party Committee"
"1430","NATIONAL GAY & LESBIAN TASK FORCE",2012,304143.82,304143.82,"Candidate"
"1431","NATIONAL GAY & LESBIAN TASK FORCE",2009,174011.72,0,"Party Committee"
"1432","NATIONAL GAY & LESBIAN TASK FORCE",2009,174011.72,174011.72,"Candidate"
"1433","NATIONAL GAY & LESBIAN TASK FORCE",2008,303148.78,0,"Party Committee"
"1434","NATIONAL GAY & LESBIAN TASK FORCE",2008,303148.78,303148.78,"Candidate"
"1435","NATIONAL GAY & LESBIAN TASK FORCE",2006,37768.94,0,"Party Committee"
"1436","NATIONAL GAY & LESBIAN TASK FORCE",2006,37768.94,37768.94,"Candidate"
"1437","NATIONAL GAY & LESBIAN TASK FORCE",2005,236357.57,0,"Party Committee"
"1438","NATIONAL GAY & LESBIAN TASK FORCE",2005,236357.57,236357.57,"Candidate"
"1439","NATIONAL GAY & LESBIAN TASK FORCE",2004,789358,0,"Party Committee"
"1440","NATIONAL GAY & LESBIAN TASK FORCE",2004,789358,789358,"Candidate"
"1441","NATIONAL GAY & LESBIAN TASK FORCE ACTION FUND",2012,5000,0,"Party Committee"
"1442","NATIONAL GAY & LESBIAN TASK FORCE ACTION FUND",2012,5000,5000,"Candidate"
"1443","NATIONAL LOG CABIN REPUBLICANS",2012,500,0,"Party Committee"
"1444","NATIONAL LOG CABIN REPUBLICANS",2012,500,500,"Candidate"
"1445","NATIONAL LOG CABIN REPUBLICANS",2009,300,0,"Party Committee"
"1446","NATIONAL LOG CABIN REPUBLICANS",2009,300,300,"Candidate"
"1447","NATIONAL RAINBOW COALITION",2000,2000,0,"Party Committee"
"1448","NATIONAL RAINBOW COALITION",2000,2000,2000,"Candidate"
"1449","NATIONAL STONEWALL DEMOCRATS",2006,2500,0,"Party Committee"
"1450","NATIONAL STONEWALL DEMOCRATS",2006,2500,2500,"Candidate"
"1451","NEW HAMPSHIRE STONEWALL DEMOCRATS",2010,750,550,"Party Committee"
"1452","NEW HAMPSHIRE STONEWALL DEMOCRATS",2010,750,200,"Candidate"
"1453","NEW HAMPSHIRE STONEWALL DEMOCRATS",2006,7500,7500,"Party Committee"
"1454","NEW HAMPSHIRE STONEWALL DEMOCRATS",2006,7500,0,"Candidate"
"1455","NEW YORK STATE LOG CABIN REPUBLICANS",1997,500,0,"Party Committee"
"1456","NEW YORK STATE LOG CABIN REPUBLICANS",1997,500,500,"Candidate"
"1457","NM LESBIAN &GAY POLITICAL ALLIANCE",1996,250,0,"Party Committee"
"1458","NM LESBIAN &GAY POLITICAL ALLIANCE",1996,250,250,"Candidate"
"1459","NO NONSENSE IN 2006",2005,29613.72,0,"Party Committee"
"1460","NO NONSENSE IN 2006",2005,29613.72,29613.72,"Candidate"
"1461","NO NONSENSE IN NOVEMBER",2005,47265,0,"Party Committee"
"1462","NO NONSENSE IN NOVEMBER",2005,47265,47265,"Candidate"
"1463","NO ON 1 PROTECT MAINE EQUALITY",2009,4414,4414,"Party Committee"
"1464","NO ON 1 PROTECT MAINE EQUALITY",2009,4414,0,"Candidate"
"1465","NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND",2008,614026,0,"Party Committee"
"1466","NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND",2008,614026,614026,"Candidate"
"1467","NO ON PROP 102 CMTE",2008,10000,0,"Party Committee"
"1468","NO ON PROP 102 CMTE",2008,10000,10000,"Candidate"
"1469","NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY",2008,1955754.55,0,"Party Committee"
"1470","NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY",2008,1955754.55,1955754.55,"Candidate"
"1471","NORTH CAROLINA EQUALITY",2000,500,0,"Party Committee"
"1472","NORTH CAROLINA EQUALITY",2000,500,500,"Candidate"
"1473","OHIO STONEWALL DEMOCRATS",2006,5300,5000,"Party Committee"
"1474","OHIO STONEWALL DEMOCRATS",2006,5300,300,"Candidate"
"1475","OHIOANS FOR GROWTH & EQUALITY",2004,20000,0,"Party Committee"
"1476","OHIOANS FOR GROWTH & EQUALITY",2004,20000,20000,"Candidate"
"1477","OK GLBT PAC",2012,1000,1000,"Party Committee"
"1478","OK GLBT PAC",2012,1000,0,"Candidate"
"1479","OKLAHOMA STONEWALL DEMOCRATS",2008,3949.99,0,"Party Committee"
"1480","OKLAHOMA STONEWALL DEMOCRATS",2008,3949.99,3949.99,"Candidate"
"1481","OKLAHOMA STONEWALL DEMOCRATS",2006,100,0,"Party Committee"
"1482","OKLAHOMA STONEWALL DEMOCRATS",2006,100,100,"Candidate"
"1483","ONE COLORADO",2019,2200,0,"Party Committee"
"1484","ONE COLORADO",2019,2200,2200,"Candidate"
"1485","ONE COLORADO",2018,62700,2500,"Party Committee"
"1486","ONE COLORADO",2018,62700,60200,"Candidate"
"1487","ONE COLORADO",2016,58822.68,3050,"Party Committee"
"1488","ONE COLORADO",2016,58822.68,55772.68,"Candidate"
"1489","ONE COLORADO",2014,39000,2000,"Party Committee"
"1490","ONE COLORADO",2014,39000,37000,"Candidate"
"1491","ONE COLORADO",2012,54600,2000,"Party Committee"
"1492","ONE COLORADO",2012,54600,52600,"Candidate"
"1493","ONE COLORADO",2010,3250,250,"Party Committee"
"1494","ONE COLORADO",2010,3250,3000,"Candidate"
"1495","ONE IOWA",2008,17344,17344,"Party Committee"
"1496","ONE IOWA",2008,17344,0,"Candidate"
"1497","ONE IOWA",2007,265,265,"Party Committee"
"1498","ONE IOWA",2007,265,0,"Candidate"
"1499","OREGON GAY & LESBIAN LAW ASSOCIATION",2004,1000,0,"Party Committee"
"1500","OREGON GAY & LESBIAN LAW ASSOCIATION",2004,1000,1000,"Candidate"
"1501","OREGON UNITED FOR MARRIAGE",2013,225,225,"Party Committee"
"1502","OREGON UNITED FOR MARRIAGE",2013,225,0,"Candidate"
"1503","OUTFRONT MINNESOTA",2013,40000,40000,"Party Committee"
"1504","OUTFRONT MINNESOTA",2013,40000,0,"Candidate"
"1505","OUTFRONT MINNESOTA",2012,504402.66,0,"Party Committee"
"1506","OUTFRONT MINNESOTA",2012,504402.66,504402.66,"Candidate"
"1507","OUTFRONT MINNESOTA",2010,20900,20900,"Party Committee"
"1508","OUTFRONT MINNESOTA",2010,20900,0,"Candidate"
"1509","OUTFRONT MINNESOTA",2008,250,250,"Party Committee"
"1510","OUTFRONT MINNESOTA",2008,250,0,"Candidate"
"1511","OUTLOOK MEDIA",2004,1048,0,"Party Committee"
"1512","OUTLOOK MEDIA",2004,1048,1048,"Candidate"
"1513","PAKISTANI AMERICAN COMMUNITY OF ATLANTA",2007,200,0,"Party Committee"
"1514","PAKISTANI AMERICAN COMMUNITY OF ATLANTA",2007,200,200,"Candidate"
"1515","PAKISTANI AMERICAN COMMUNITY OF ATLANTA",2006,750,0,"Party Committee"
"1516","PAKISTANI AMERICAN COMMUNITY OF ATLANTA",2006,750,750,"Candidate"
"1517","PARENTS & FRIENDS OF LESBIANS",2000,60,60,"Party Committee"
"1518","PARENTS & FRIENDS OF LESBIANS",2000,60,0,"Candidate"
"1519","PARENTS FAMILIES & FRIENDS OF LESBIANS & GAYS (PFLAG) NATIONAL OFFICE",2008,24150,0,"Party Committee"
"1520","PARENTS FAMILIES & FRIENDS OF LESBIANS & GAYS (PFLAG) NATIONAL OFFICE",2008,24150,24150,"Candidate"
"1521","PARENTS FAMILIES FRIENDS OF LESBIANS & GAYS/PFLAG",2004,290,0,"Party Committee"
"1522","PARENTS FAMILIES FRIENDS OF LESBIANS & GAYS/PFLAG",2004,290,290,"Candidate"
"1523","PFLAG ANN ARBOR",2004,100,0,"Party Committee"
"1524","PFLAG ANN ARBOR",2004,100,100,"Candidate"
"1525","PFLAG BOULDER",2006,1852,0,"Party Committee"
"1526","PFLAG BOULDER",2006,1852,1852,"Candidate"
"1527","PFLAG CENTRAL OREGON",2004,100,0,"Party Committee"
"1528","PFLAG CENTRAL OREGON",2004,100,100,"Candidate"
"1529","PFLAG CLACKAMAS COUNTY",2004,100,0,"Party Committee"
"1530","PFLAG CLACKAMAS COUNTY",2004,100,100,"Candidate"
"1531","PFLAG CORVALLIS-ALBANY CHAPTER",2004,100,0,"Party Committee"
"1532","PFLAG CORVALLIS-ALBANY CHAPTER",2004,100,100,"Candidate"
"1533","PFLAG DENVER",2006,639.04,0,"Party Committee"
"1534","PFLAG DENVER",2006,639.04,639.04,"Candidate"
"1535","PFLAG DETROIT",2004,1000,0,"Party Committee"
"1536","PFLAG DETROIT",2004,1000,1000,"Candidate"
"1537","PFLAG DILLON SUMMIT COUNTY",2006,250,0,"Party Committee"
"1538","PFLAG DILLON SUMMIT COUNTY",2006,250,250,"Candidate"
"1539","PFLAG DOWNRIVER",2008,200,0,"Party Committee"
"1540","PFLAG DOWNRIVER",2008,200,200,"Candidate"
"1541","PFLAG DOWNRIVER",2004,100,0,"Party Committee"
"1542","PFLAG DOWNRIVER",2004,100,100,"Candidate"
"1543","PFLAG FOREST GROVE",2004,100,0,"Party Committee"
"1544","PFLAG FOREST GROVE",2004,100,100,"Candidate"
"1545","PFLAG FOX CITIES",2006,1000,0,"Party Committee"
"1546","PFLAG FOX CITIES",2006,1000,1000,"Candidate"
"1547","PFLAG GENESEE COUNTY",2004,550,0,"Party Committee"
"1548","PFLAG GENESEE COUNTY",2004,550,550,"Candidate"
"1549","PFLAG LANSING",2004,500,0,"Party Committee"
"1550","PFLAG LANSING",2004,500,500,"Candidate"
"1551","PFLAG MADISON",2006,1100,0,"Party Committee"
"1552","PFLAG MADISON",2006,1100,1100,"Candidate"
"1553","PFLAG OF PUEBLO",2006,100,0,"Party Committee"
"1554","PFLAG OF PUEBLO",2006,100,100,"Candidate"
"1555","PFLAG OF WASHINGTON METROPOLITAN AREA",2006,10120,0,"Party Committee"
"1556","PFLAG OF WASHINGTON METROPOLITAN AREA",2006,10120,10120,"Candidate"
"1557","PFLAG TREASURE VALLEY",2006,3000,0,"Party Committee"
"1558","PFLAG TREASURE VALLEY",2006,3000,3000,"Candidate"
"1559","PFLAG TRI-CITIES",2004,100,0,"Party Committee"
"1560","PFLAG TRI-CITIES",2004,100,100,"Candidate"
"1561","PFLAG VALLEY COUNTY",2006,169.15,0,"Party Committee"
"1562","PFLAG VALLEY COUNTY",2006,169.15,169.15,"Candidate"
"1563","PFLAG-EUGENE/SPRINGFIELD",2004,500,0,"Party Committee"
"1564","PFLAG-EUGENE/SPRINGFIELD",2004,500,500,"Candidate"
"1565","PFLAG-KC",2004,200,0,"Party Committee"
"1566","PFLAG-KC",2004,200,200,"Candidate"
"1567","PFLAG/AUSTIN",2005,74,0,"Party Committee"
"1568","PFLAG/AUSTIN",2005,74,74,"Candidate"
"1569","PFLAG/DENTON COUNTY",2005,488,0,"Party Committee"
"1570","PFLAG/DENTON COUNTY",2005,488,488,"Candidate"
"1571","PFLAG/EL PASO",2005,50,0,"Party Committee"
"1572","PFLAG/EL PASO",2005,50,50,"Candidate"
"1573","PFLAG/FORT WORTH",2005,200,0,"Party Committee"
"1574","PFLAG/FORT WORTH",2005,200,200,"Candidate"
"1575","PINELLAS STONEWALL PAC",2018,1000,0,"Party Committee"
"1576","PINELLAS STONEWALL PAC",2018,1000,1000,"Candidate"
"1577","PINELLAS STONEWALL PAC",2014,1200,0,"Party Committee"
"1578","PINELLAS STONEWALL PAC",2014,1200,1200,"Candidate"
"1579","PINELLAS STONEWALL PAC",2012,1750,0,"Party Committee"
"1580","PINELLAS STONEWALL PAC",2012,1750,1750,"Candidate"
"1581","PINELLAS STONEWALL PAC",2010,300,0,"Party Committee"
"1582","PINELLAS STONEWALL PAC",2010,300,300,"Candidate"
"1583","PINELLAS STONEWALL PAC",2008,1050,0,"Party Committee"
"1584","PINELLAS STONEWALL PAC",2008,1050,1050,"Candidate"
"1585","PLAG",2009,75,0,"Party Committee"
"1586","PLAG",2009,75,75,"Candidate"
"1587","PRIDE AT WORK",2005,100,0,"Party Committee"
"1588","PRIDE AT WORK",2005,100,100,"Candidate"
"1589","PRIDE DAY CMTE",2004,450,0,"Party Committee"
"1590","PRIDE DAY CMTE",2004,450,450,"Candidate"
"1591","PRIDE FOUNDATION",2018,19000,0,"Party Committee"
"1592","PRIDE FOUNDATION",2018,19000,19000,"Candidate"
"1593","PRIDE FOUNDATION",2012,87870,0,"Party Committee"
"1594","PRIDE FOUNDATION",2012,87870,87870,"Candidate"
"1595","PRIDE FOUNDATION",2009,36353,0,"Party Committee"
"1596","PRIDE FOUNDATION",2009,36353,36353,"Candidate"
"1597","PRIDE FOUNDATION",2004,1000,0,"Party Committee"
"1598","PRIDE FOUNDATION",2004,1000,1000,"Candidate"
"1599","PRIDE FOUNDATION",2000,75,75,"Party Committee"
"1600","PRIDE FOUNDATION",2000,75,0,"Candidate"
"1601","PRIDE INC",2004,15066.72,0,"Party Committee"
"1602","PRIDE INC",2004,15066.72,15066.72,"Candidate"
"1603","PRIDE OF PHILADELPHIA ELECTION COMM",1998,1000,0,"Party Committee"
"1604","PRIDE OF PHILADELPHIA ELECTION COMM",1998,1000,1000,"Candidate"
"1605","PRIDE PAC",2010,1000,0,"Party Committee"
"1606","PRIDE PAC",2010,1000,1000,"Candidate"
"1607","PRIDE PAC",2006,150,0,"Party Committee"
"1608","PRIDE PAC",2006,150,150,"Candidate"
"1609","PRIDE PROJECT",2012,7900,0,"Party Committee"
"1610","PRIDE PROJECT",2012,7900,7900,"Candidate"
"1611","PRIDE SOURCE MEDIA",2004,379,0,"Party Committee"
"1612","PRIDE SOURCE MEDIA",2004,379,379,"Candidate"
"1613","PRIDE SOURCE MEDIA GROUP",2004,24995,0,"Party Committee"
"1614","PRIDE SOURCE MEDIA GROUP",2004,24995,24995,"Candidate"
"1615","PRIDEFEST",2006,10000,0,"Party Committee"
"1616","PRIDEFEST",2006,10000,10000,"Candidate"
"1617","PRIVACY FUND",1998,250,0,"Party Committee"
"1618","PRIVACY FUND",1998,250,250,"Candidate"
"1619","PRIVACY FUND",1996,23100,0,"Party Committee"
"1620","PRIVACY FUND",1996,23100,23100,"Candidate"
"1621","PRIVACY FUND",1994,10250,0,"Party Committee"
"1622","PRIVACY FUND",1994,10250,10250,"Candidate"
"1623","PRIVACY FUND",1992,6000,0,"Party Committee"
"1624","PRIVACY FUND",1992,6000,6000,"Candidate"
"1625","PRIVACY FUND",1990,4500,0,"Party Committee"
"1626","PRIVACY FUND",1990,4500,4500,"Candidate"
"1627","PRIVACY FUND/HANDS OFF WA",1998,250,0,"Party Committee"
"1628","PRIVACY FUND/HANDS OFF WA",1998,250,250,"Candidate"
"1629","PROGRESS PRINTING CORPORATION",2000,825,0,"Party Committee"
"1630","PROGRESS PRINTING CORPORATION",2000,825,825,"Candidate"
"1631","PROJECT 515",2014,17600,0,"Party Committee"
"1632","PROJECT 515",2014,17600,17600,"Candidate"
"1633","PROJECT 515",2013,40000,40000,"Party Committee"
"1634","PROJECT 515",2013,40000,0,"Candidate"
"1635","PROJECT 515",2012,590749.19,0,"Party Committee"
"1636","PROJECT 515",2012,590749.19,590749.19,"Candidate"
"1637","PROJECT 515",2010,17850,17850,"Party Committee"
"1638","PROJECT 515",2010,17850,0,"Candidate"
"1639","PROTECT MAINE EQUALITY",2009,31100,0,"Party Committee"
"1640","PROTECT MAINE EQUALITY",2009,31100,31100,"Candidate"
"1641","QLAW",2012,18200,0,"Party Committee"
"1642","QLAW",2012,18200,18200,"Candidate"
"1643","RAINBOW ALLIANCE",1998,1750,0,"Party Committee"
"1644","RAINBOW ALLIANCE",1998,1750,1750,"Candidate"
"1645","RAINBOW BUSINESS & PROFESSIONAL ASSOCIATION",2009,1500,0,"Party Committee"
"1646","RAINBOW BUSINESS & PROFESSIONAL ASSOCIATION",2009,1500,1500,"Candidate"
"1647","RAINBOW DEMOCRATIC CLUB",2006,175,0,"Party Committee"
"1648","RAINBOW DEMOCRATIC CLUB",2006,175,175,"Candidate"
"1649","RAINBOW DEMOCRATIC CLUB",2003,200,200,"Party Committee"
"1650","RAINBOW DEMOCRATIC CLUB",2003,200,0,"Candidate"
"1651","RAINBOW DEMOCRATIC CLUB",2002,100,0,"Party Committee"
"1652","RAINBOW DEMOCRATIC CLUB",2002,100,100,"Candidate"
"1653","RAINBOW EQUALITY",2010,700,0,"Party Committee"
"1654","RAINBOW EQUALITY",2010,700,700,"Candidate"
"1655","RAINBOW EQUALITY",2008,2775,0,"Party Committee"
"1656","RAINBOW EQUALITY",2008,2775,2775,"Candidate"
"1657","RAINBOW EQUALITY PAC",2008,50,0,"Party Committee"
"1658","RAINBOW EQUALITY PAC",2008,50,50,"Candidate"
"1659","RED WING PFLAG",2006,100,0,"Party Committee"
"1660","RED WING PFLAG",2006,100,100,"Candidate"
"1661","REPUBLICAN LIBERTY",2002,650,0,"Party Committee"
"1662","REPUBLICAN LIBERTY",2002,650,650,"Candidate"
"1663","REPUBLICAN UNITY COALITION",2002,30000,0,"Party Committee"
"1664","REPUBLICAN UNITY COALITION",2002,30000,30000,"Candidate"
"1665","RIGHT TO PRIVACY PAC",1996,4200,0,"Party Committee"
"1666","RIGHT TO PRIVACY PAC",1996,4200,4200,"Candidate"
"1667","RIGHT TO PRIVACY PAC",1994,58100,0,"Party Committee"
"1668","RIGHT TO PRIVACY PAC",1994,58100,58100,"Candidate"
"1669","RIGHT TO PRIVACY PAC",1992,55250,0,"Party Committee"
"1670","RIGHT TO PRIVACY PAC",1992,55250,55250,"Candidate"
"1671","RIGHT TO PRIVACY PAC",1990,42497.35,0,"Party Committee"
"1672","RIGHT TO PRIVACY PAC",1990,42497.35,42497.35,"Candidate"
"1673","ROANOKE VALLEY CHAPTER OF PFLAG",2006,200,0,"Party Committee"
"1674","ROANOKE VALLEY CHAPTER OF PFLAG",2006,200,200,"Candidate"
"1675","SDC OF AR",2012,500,0,"Party Committee"
"1676","SDC OF AR",2012,500,500,"Candidate"
"1677","SEATTLE GAY NEWS",2008,1050,0,"Party Committee"
"1678","SEATTLE GAY NEWS",2008,1050,1050,"Candidate"
"1679","SEATTLE GAY NEWS",2004,1765,0,"Party Committee"
"1680","SEATTLE GAY NEWS",2004,1765,1765,"Candidate"
"1681","SEATTLE GAY NEWS",1996,1000,0,"Party Committee"
"1682","SEATTLE GAY NEWS",1996,1000,1000,"Candidate"
"1683","SEATTLE GAY NEWS",1994,480,0,"Party Committee"
"1684","SEATTLE GAY NEWS",1994,480,480,"Candidate"
"1685","SEATTLE GAY NEWS",1992,510,0,"Party Committee"
"1686","SEATTLE GAY NEWS",1992,510,510,"Candidate"
"1687","SEIBEL, MORGAN",2012,9.9,0,"Party Committee"
"1688","SEIBEL, MORGAN",2012,9.9,9.9,"Candidate"
"1689","SOUTH CAROLINA EQUALITY COALITION",2018,3500,0,"Party Committee"
"1690","SOUTH CAROLINA EQUALITY COALITION",2018,3500,3500,"Candidate"
"1691","SOUTH CAROLINA EQUALITY COALITION",2014,12500,0,"Party Committee"
"1692","SOUTH CAROLINA EQUALITY COALITION",2014,12500,12500,"Candidate"
"1693","SOUTH CAROLINA EQUALITY COALITION",2012,1000,0,"Party Committee"
"1694","SOUTH CAROLINA EQUALITY COALITION",2012,1000,1000,"Candidate"
"1695","SOUTH CAROLINA EQUALITY COALITION",2006,96603.65,0,"Party Committee"
"1696","SOUTH CAROLINA EQUALITY COALITION",2006,96603.65,96603.65,"Candidate"
"1697","SOUTH CAROLINA STONEWALL DEMOCRATS",2009,800,800,"Party Committee"
"1698","SOUTH CAROLINA STONEWALL DEMOCRATS",2009,800,0,"Candidate"
"1699","SOUTHERN ARIZONA STONEWALL DEMOCRATS",2006,50,0,"Party Committee"
"1700","SOUTHERN ARIZONA STONEWALL DEMOCRATS",2006,50,50,"Candidate"
"1701","SOUTHERN ARIZONA STONEWALL DEMOCRATS",2004,395,395,"Party Committee"
"1702","SOUTHERN ARIZONA STONEWALL DEMOCRATS",2004,395,0,"Candidate"
"1703","SOUTHERN MAINE PRIDE",2009,100,100,"Party Committee"
"1704","SOUTHERN MAINE PRIDE",2009,100,0,"Candidate"
"1705","ST LOUIS NETWORK LLC",2004,805,0,"Party Committee"
"1706","ST LOUIS NETWORK LLC",2004,805,805,"Candidate"
"1707","ST LOUIS STONEWALL DEMOCRATS",2012,140,140,"Party Committee"
"1708","ST LOUIS STONEWALL DEMOCRATS",2012,140,0,"Candidate"
"1709","ST LOUIS STONEWALL DEMOCRATS",2010,1000,0,"Party Committee"
"1710","ST LOUIS STONEWALL DEMOCRATS",2010,1000,1000,"Candidate"
"1711","STANDING TOGETHER & RECLAIMING THE STATE/STARS",2000,577,0,"Party Committee"
"1712","STANDING TOGETHER & RECLAIMING THE STATE/STARS",2000,577,577,"Candidate"
"1713","STEVENS POINT GAY-STRAIGHT ALLIANCE",2006,75,0,"Party Committee"
"1714","STEVENS POINT GAY-STRAIGHT ALLIANCE",2006,75,75,"Candidate"
"1715","STONE WALL DEMOCRATES",2008,1000,1000,"Party Committee"
"1716","STONE WALL DEMOCRATES",2008,1000,0,"Candidate"
"1717","STONEWALL DEMO",1998,200,0,"Party Committee"
"1718","STONEWALL DEMO",1998,200,200,"Candidate"
"1719","STONEWALL DEMOCRATES",2006,250,0,"Party Committee"
"1720","STONEWALL DEMOCRATES",2006,250,250,"Candidate"
"1721","STONEWALL DEMOCRATIC CAUCUS",2016,700,0,"Party Committee"
"1722","STONEWALL DEMOCRATIC CAUCUS",2016,700,700,"Candidate"
"1723","STONEWALL DEMOCRATIC CAUCUS",2014,900,0,"Party Committee"
"1724","STONEWALL DEMOCRATIC CAUCUS",2014,900,900,"Candidate"
"1725","STONEWALL DEMOCRATIC CAUCUS",2012,2250,0,"Party Committee"
"1726","STONEWALL DEMOCRATIC CAUCUS",2012,2250,2250,"Candidate"
"1727","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2016,1000,0,"Party Committee"
"1728","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2016,1000,1000,"Candidate"
"1729","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2012,500,0,"Party Committee"
"1730","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2012,500,500,"Candidate"
"1731","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2011,500,0,"Party Committee"
"1732","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2011,500,500,"Candidate"
"1733","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2010,750,0,"Party Committee"
"1734","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2010,750,750,"Candidate"
"1735","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2008,2220,0,"Party Committee"
"1736","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2008,2220,2220,"Candidate"
"1737","STONEWALL DEMOCRATIC CLUB",2018,200,0,"Party Committee"
"1738","STONEWALL DEMOCRATIC CLUB",2018,200,200,"Candidate"
"1739","STONEWALL DEMOCRATIC CLUB",2017,600,0,"Party Committee"
"1740","STONEWALL DEMOCRATIC CLUB",2017,600,600,"Candidate"
"1741","STONEWALL DEMOCRATIC CLUB",2016,540,0,"Party Committee"
"1742","STONEWALL DEMOCRATIC CLUB",2016,540,540,"Candidate"
"1743","STONEWALL DEMOCRATIC CLUB",2014,1000,0,"Party Committee"
"1744","STONEWALL DEMOCRATIC CLUB",2014,1000,1000,"Candidate"
"1745","STONEWALL DEMOCRATIC CLUB",2012,500,0,"Party Committee"
"1746","STONEWALL DEMOCRATIC CLUB",2012,500,500,"Candidate"
"1747","STONEWALL DEMOCRATIC CLUB",2011,700,0,"Party Committee"
"1748","STONEWALL DEMOCRATIC CLUB",2011,700,700,"Candidate"
"1749","STONEWALL DEMOCRATIC CLUB",2010,1000,0,"Party Committee"
"1750","STONEWALL DEMOCRATIC CLUB",2010,1000,1000,"Candidate"
"1751","STONEWALL DEMOCRATIC CLUB",2009,500,0,"Party Committee"
"1752","STONEWALL DEMOCRATIC CLUB",2009,500,500,"Candidate"
"1753","STONEWALL DEMOCRATIC CLUB",2008,1000,0,"Party Committee"
"1754","STONEWALL DEMOCRATIC CLUB",2008,1000,1000,"Candidate"
"1755","STONEWALL DEMOCRATIC CLUB",2006,150,0,"Party Committee"
"1756","STONEWALL DEMOCRATIC CLUB",2006,150,150,"Candidate"
"1757","STONEWALL DEMOCRATIC CLUB",2004,250,0,"Party Committee"
"1758","STONEWALL DEMOCRATIC CLUB",2004,250,250,"Candidate"
"1759","STONEWALL DEMOCRATIC CLUB",2002,4500,0,"Party Committee"
"1760","STONEWALL DEMOCRATIC CLUB",2002,4500,4500,"Candidate"
"1761","STONEWALL DEMOCRATIC CLUB",2000,850,0,"Party Committee"
"1762","STONEWALL DEMOCRATIC CLUB",2000,850,850,"Candidate"
"1763","STONEWALL DEMOCRATIC CLUB - ISSUES & ADVOCACY CMTE",2003,3200,0,"Party Committee"
"1764","STONEWALL DEMOCRATIC CLUB - ISSUES & ADVOCACY CMTE",2003,3200,3200,"Candidate"
"1765","STONEWALL DEMOCRATIC CLUB 1247892",2006,250,0,"Party Committee"
"1766","STONEWALL DEMOCRATIC CLUB 1247892",2006,250,250,"Candidate"
"1767","STONEWALL DEMOCRATIC CLUB ISSUES & ADVOCACY CMTE",2006,852.68,0,"Party Committee"
"1768","STONEWALL DEMOCRATIC CLUB ISSUES & ADVOCACY CMTE",2006,852.68,852.68,"Candidate"
"1769","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2007,1500,1500,"Party Committee"
"1770","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2007,1500,0,"Candidate"
"1771","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2006,1100,1000,"Party Committee"
"1772","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2006,1100,100,"Candidate"
"1773","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2005,1500,1500,"Party Committee"
"1774","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2005,1500,0,"Candidate"
"1775","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2018,5750,500,"Party Committee"
"1776","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2018,5750,5250,"Candidate"
"1777","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2016,2150,0,"Party Committee"
"1778","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2016,2150,2150,"Candidate"
"1779","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2014,6500,0,"Party Committee"
"1780","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2014,6500,6500,"Candidate"
"1781","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2012,15890,0,"Party Committee"
"1782","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2012,15890,15890,"Candidate"
"1783","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2010,20774,0,"Party Committee"
"1784","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2010,20774,20774,"Candidate"
"1785","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2008,17800,0,"Party Committee"
